Date_time,id,Azure_time,pelvisx,pelvisy,pelvisz,Pitch_pelvis_orientation,Yaw_pelvis_orientation,Roll_pelvis_orientation,navalx,navaly,navalz,Pitch_naval_orientation,Yaw_naval_orientation,Roll_naval_orientation,chestx,chesty,chestz,Pitch_chest_orientation,Yaw_chest_orientation,Roll_chest_orientation,neckx,necky,neckz,Pitch_neck_orientation,Yaw_neck_orientation,Roll_neck_orientation,clavicle_leftx,clavicle_lefty,clavicle_leftz,Pitch_clavicle_left_orientation,Yaw_clavicle_left_orientation,Roll_clavicle_left_orientation,shoulder_leftx,shoulder_lefty,shoulder_leftz,Pitch_shoulder_left_orientation,Yaw_shoulder_left_orientation,Roll_shoulder_left_orientation,elbow_leftx,elbow_lefty,elbow_leftz,Pitch_elbow_left_orientation,Yaw_elbow_left_orientation,Roll_elbow_left_orientation,wrist_leftx,wrist_lefty,wrist_leftz,Pitch_wrist_left_orientation,Yaw_wrist_left_orientation,Roll_wrist_left_orientation,hand_leftx,hand_lefty,hand_leftz,Pitch_hand_left_orientation,Yaw_hand_left_orientation,Roll_hand_left_orientation,handtip_leftx,handtip_lefty,handtip_leftz,Pitch_handtip_left_orientation,Yaw_handtip_left_orientation,Roll_handtip_left_orientation,thumb_leftx,thumb_lefty,thumb_leftz,Pitch_thumb_left_orientation,Yaw_thumb_left_orientation,Roll_thumb_left_orientation,clavicle_rightx,clavicle_righty,clavicle_rightz,Pitch_clavicle_right_orientation,Yaw_clavicle_right_orientation,Roll_clavicle_right_orientation,shoulder_rightx,shoulder_righty,shoulder_rightz,Pitch_shoulder_right_orientation,Yaw_shoulder_right_orientation,Roll_shoulder_right_orientation,elbow_rightx,elbow_righty,elbow_rightz,Pitch_elbow_right_orientation,Yaw_elbow_right_orientation,Roll_elbow_right_orientation,wrist_rightx,wrist_righty,wrist_rightz,Pitch_wrist_right_orientation,Yaw_wrist_right_orientation,Roll_wrist_right_orientation,hand_rightx,hand_righty,hand_rightz,Pitch_hand_right_orientation,Yaw_hand_right_orientation,Roll_hand_right_orientation,handtip_rightx,handtip_righty,handtip_rightz,Pitch_handtip_right_orientation,Yaw_handtip_right_orientation,Roll_handtip_right_orientation,thumb_rightx,thumb_righty,thumb_rightz,Pitch_thumb_right_orientation,Yaw_thumb_right_orientation,Roll_thumb_right_orientation,hip_leftx,hip_lefty,hip_leftz,Pitch_hip_left_orientation,Yaw_hip_left_orientation,Roll_hip_left_orientation,knee_leftx,knee_lefty,knee_leftz,Pitch_knee_left_orientation,Yaw_knee_left_orientation,Roll_knee_left_orientation,ankle_leftx,ankle_lefty,ankle_leftz,Pitch_ankle_left_orientation,Yaw_ankle_left_orientation,Roll_ankle_left_orientation,foot_leftx,foot_lefty,foot_leftz,Pitch_foot_left_orientation,Yaw_foot_left_orientation,Roll_foot_left_orientation,hip_rightx,hip_righty,hip_rightz,Pitch_hip_right_orientation,Yaw_hip_right_orientation,Roll_hip_right_orientation,knee_rightx,knee_righty,knee_rightz,Pitch_knee_right_orientation,Yaw_knee_right_orientation,Roll_knee_right_orientation,ankle_rightx,ankle_righty,ankle_rightz,Pitch_ankle_right_orientation,Yaw_ankle_right_orientation,Roll_ankle_right_orientation,foot_rightx,foot_righty,foot_rightz,Pitch_foot_right_orientation,Yaw_foot_right_orientation,Roll_foot_right_orientation,headx,heady,headz,Pitch_head_orientation,Yaw_head_orientation,Roll_head_orientation,nosex,nosey,nosez,Pitch_nose_orientation,Yaw_nose_orientation,Roll_nose_orientation,eye_leftx,eye_lefty,eye_leftz,Pitch_eye_left_orientation,Yaw_eye_left_orientation,Roll_eye_left_orientation,ear_leftx,ear_lefty,ear_leftz,Pitch_ear_left_orientation,Yaw_ear_left_orientation,Roll_ear_left_orientation,eye_rightx,eye_righty,eye_rightz,Pitch_eye_right_orientation,Yaw_eye_right_orientation,Roll_eye_right_orientation,ear_rightx,ear_righty,ear_rightz,Pitch_ear_right_orientation,Yaw_ear_right_orientation,Roll_ear_right_orientation
2020-04-16_23-36-11,1,1390988,-48.063957,-84.002335,3719.045654,281.757500,150.289668,93.374516,-19.212957,-187.701645,2080.984863,284.471945,135.088422,88.937002,-20.881783,-277.717255,1991.239014,288.599734,130.863454,86.922747,-27.443211,-404.749390,1845.419312,293.017269,122.255435,81.440077,2.711240,-378.909760,1863.627319,211.080147,163.216419,198.106572,118.655052,-340.998779,1826.836060,189.702458,187.548719,259.581728,162.808365,-100.857780,1859.192383,191.912371,177.034015,310.899558,27.641178,55.185841,1848.495972,178.719667,124.746022,345.212300,-24.463284,61.936104,1780.632446,152.810358,129.835272,17.435923,-83.321701,43.450451,1706.678833,152.810358,129.835272,17.435923,-86.056831,54.291615,1860.197754,77.943494,186.520696,18.252251,-54.810757,-389.956818,1876.545166,35.332054,174.744248,176.859327,-171.356506,-383.561981,1887.282104,26.337571,160.321681,116.584317,-277.105957,-172.240799,1971.790283,32.433364,181.114544,80.606816,-242.946442,34.252556,1967.718384,136.177645,235.662926,149.372827,-282.750732,56.374340,1887.308472,115.580528,160.480527,99.576970,-297.595062,144.354324,1918.938232,115.580528,160.480527,99.576970,-264.583740,51.354328,1865.712036,115.165427,235.916675,203.002525,51.056580,-35.861427,2143.402588,232.950620,226.927791,51.182450,203.802612,153.997406,1882.751953,243.344640,156.485268,91.387667,196.230240,466.592194,2018.807617,260.868246,162.706810,88.299350,221.481445,601.227173,1923.330444,119.123766,109.465400,237.653561,-99.073235,-60.349476,2170.755859,41.007367,145.876363,316.911673,-314.558380,141.215637,1970.805420,48.978252,197.902400,269.099546,-309.405243,469.082123,2076.731689,60.548147,189.907623,275.233352,-380.064789,571.932800,1987.125000,341.530528,238.584599,169.560594,-33.226749,-443.173096,1783.848267,281.821310,119.383176,79.983634,-48.911358,-346.662720,1679.197266,281.821310,119.383176,79.983634,-27.348379,-389.999146,1667.124756,83.419793,151.298806,273.490153,32.795235,-467.921356,1722.601929,78.178664,240.616831,259.983622,-73.187302,-385.553467,1674.236938,83.419793,151.298806,273.490153,-113.607101,-470.622375,1743.276978,281.821310,119.383176,79.983634
2020-04-16_23-36-11,1,1524322,-43.292770,-74.555946,3744.164551,282.573710,149.023938,92.099757,-19.160772,-188.843719,2081.410400,284.730859,137.225248,88.524733,-21.707176,-287.778625,1989.854370,287.845768,126.987494,85.838928,-30.443548,-411.618347,1826.437622,292.846098,118.351654,79.917244,2.047652,-386.520233,1847.911987,207.924737,167.981722,196.914350,128.498688,-348.066864,1819.774658,184.016094,189.174937,260.280298,172.036041,-93.889084,1861.426270,189.876321,181.629415,317.239536,11.131302,54.904087,1867.660400,212.687754,115.689058,323.173061,-25.083445,71.521072,1785.820679,166.388315,112.047619,13.267550,-62.401814,62.721691,1691.148315,166.388315,112.047619,13.267550,-104.641754,39.147923,1828.822876,83.275795,157.855968,26.108349,-59.449360,-397.317596,1860.090454,32.506989,169.310830,176.119587,-181.326782,-389.050720,1883.148438,21.215959,158.247243,114.626613,-284.340210,-164.325836,1981.789185,30.013380,180.715851,69.715791,-207.376572,43.910103,1979.015381,137.658508,213.330718,146.134969,-272.235291,85.593109,1918.506470,130.663469,161.395561,99.719666,-288.299652,179.379471,1950.536987,130.663469,161.395561,99.719666,-267.546600,84.336258,1895.130493,92.856271,214.443361,181.836832,58.668980,-30.399710,2150.024658,232.780224,232.970851,47.812964,211.714828,138.463196,1847.913086,245.731388,152.376778,90.857205,206.920868,458.865631,2015.599487,260.333287,157.881305,88.095038,235.773651,609.440674,1926.971069,114.115411,113.953538,241.925798,-100.535820,-54.614918,2180.619385,39.071072,140.526580,322.216245,-331.156097,124.167801,1940.302979,49.890509,201.568419,266.937517,-312.998230,463.558838,2074.652832,60.905448,193.701722,272.949567,-383.139465,581.698730,1987.077026,334.506053,237.698406,161.235139,-36.863220,-447.721100,1758.482544,248.578020,115.393967,103.609213,-14.101386,-337.620026,1656.344360,248.578020,115.393967,103.609213,6.887653,-385.027527,1645.789551,99.836073,156.470970,260.133902,44.939957,-477.793701,1711.416870,111.421980,244.606033,283.609183,-41.336937,-375.275635,1641.108521,99.836073,156.470970,260.133902,-110.203819,-464.291260,1692.808228,248.578020,115.393967,103.609213
2020-04-16_23-36-11,1,1590977,-43.244640,-73.561401,3742.743408,282.557104,149.064179,92.110159,-19.081612,-188.840607,2080.183838,284.707645,137.266423,88.542726,-21.607574,-288.193756,1988.373779,287.707850,127.274511,85.897318,-30.309036,-413.300598,1825.003052,292.610931,118.628638,80.072370,2.296891,-388.032959,1846.460449,208.185438,168.052940,197.144540,129.074539,-348.923187,1818.387939,184.937188,187.974311,261.489656,167.494431,-92.166992,1854.755737,189.370572,179.987657,319.654678,-0.198692,50.275280,1854.708374,210.855707,114.412633,327.173310,-36.282097,63.504963,1771.839111,168.099192,111.259961,13.184528,-72.470634,55.027328,1676.310303,168.099192,111.259961,13.184528,-117.467773,33.195782,1815.362183,84.734072,158.135962,25.610934,-59.441593,-398.750763,1858.670288,32.976044,169.379270,175.431598,-181.671005,-388.984253,1881.663696,20.328582,159.121470,113.966466,-283.046936,-160.931107,1976.858154,28.817763,180.320812,69.493914,-204.996384,47.756985,1975.610474,128.040041,206.873737,148.060942,-276.040314,91.881516,1923.845581,127.763353,153.838542,109.726311,-306.564117,177.007996,1968.268799,127.763353,153.838542,109.726311,-274.482178,95.171829,1903.483398,80.100247,211.449277,181.628218,59.000622,-29.783506,2148.953125,232.583513,233.056776,47.336592,213.685501,138.061890,1845.425659,245.630897,152.227486,90.701891,209.751541,459.174927,2014.545166,259.993039,156.598813,88.142630,239.471054,612.176331,1929.158691,113.446052,115.244142,242.450395,-100.777390,-54.068649,2179.629639,38.954690,140.509279,322.628445,-333.443848,123.635384,1938.370972,49.821612,201.572596,267.181443,-316.672119,464.296783,2073.222900,60.937939,193.735156,273.183387,-387.484344,582.631531,1985.371582,334.426020,237.715333,161.393601,-36.710140,-449.873260,1756.985352,240.197995,114.540558,114.958153,-15.924256,-334.511230,1659.536133,240.197995,114.540558,114.958153,8.768225,-380.218231,1648.559082,102.785227,158.874728,262.762495,49.553146,-472.977661,1713.327759,119.802005,245.459442,294.958168,-39.858807,-373.406006,1641.557983,102.785227,158.874728,262.762495,-105.511620,-468.818390,1686.665161,240.197995,114.540558,114.958153
2020-04-16_23-36-11,1,1724288,-42.299206,-73.598907,3753.599121,282.645565,149.391722,92.046007,-18.565674,-190.315002,2080.555420,284.867728,137.249362,88.347574,-21.450386,-290.365234,1988.037598,287.948411,126.694355,85.598067,-30.742199,-414.680054,1822.188599,293.040052,118.066506,79.587622,2.190276,-389.510590,1844.006836,207.657361,169.507551,197.596177,130.233047,-348.902435,1819.128906,187.375751,189.394003,261.971968,166.620026,-90.911415,1862.233765,191.817319,178.403967,321.137790,-5.902156,48.108593,1856.060303,211.581241,111.832377,328.669047,-39.258198,58.458290,1770.923096,177.833543,108.484084,4.467845,-71.896988,55.907990,1672.988281,177.833543,108.484084,4.467845,-98.551910,43.139126,1763.726440,87.303150,123.895581,23.885120,-60.002678,-400.317810,1856.305420,32.823451,167.216770,175.187492,-182.133286,-390.035400,1884.113281,24.801805,162.200332,113.125792,-282.756744,-154.421066,1966.369019,29.569908,186.413737,68.502436,-201.017197,53.112640,1941.295776,135.751800,205.474665,149.685615,-275.500641,95.190895,1891.306885,136.345705,153.354584,100.686137,-292.322815,184.337830,1936.826172,136.345705,153.354584,100.686137,-244.608566,149.502396,1860.046875,52.227773,216.894787,140.369980,60.223080,-29.712776,2148.820557,231.633010,234.061919,46.375425,215.139801,132.826248,1839.064453,245.759167,152.502061,90.782496,210.710678,457.117859,2007.880981,259.758210,154.931875,88.626697,239.979309,613.875122,1926.503174,112.270085,116.843573,243.894725,-100.708389,-53.945305,2180.043945,38.498991,140.216448,323.427641,-336.566833,121.042175,1935.499023,49.571247,202.003802,266.899299,-318.037323,463.101868,2073.929199,60.087245,194.548224,272.777219,-390.274963,583.729004,1988.124023,333.606345,236.645645,160.506413,-37.380253,-450.804016,1753.304810,234.594425,111.333585,122.499944,-20.798098,-327.471985,1663.329468,234.594425,111.333585,122.499944,6.030604,-371.601379,1649.402344,102.749878,162.751245,265.152748,50.639580,-467.458008,1708.552002,125.405575,248.666415,302.499952,-43.162151,-366.304810,1642.437988,102.749878,162.751245,265.152748,-105.469337,-467.911865,1680.796143,234.594425,111.333585,122.499944
2020-04-16_23-36-11,1,1790988,-42.294762,-73.591599,3754.819092,282.663684,149.397722,92.029869,-18.598713,-190.303116,2080.802734,284.902101,137.200752,88.306464,-21.552736,-290.266876,1988.205322,288.095216,126.550885,85.452251,-31.125208,-414.135559,1822.054199,293.257714,117.933079,79.367434,1.846619,-389.040771,1843.892944,207.486336,169.494977,197.627691,129.854324,-348.366241,1818.987061,186.974159,189.506652,261.921444,166.454666,-90.507034,1862.601440,191.711065,178.800506,321.162614,-6.146744,48.453480,1857.961792,210.695432,112.603494,330.078054,-40.841961,58.607784,1773.343628,178.266274,109.308382,4.657794,-74.871048,55.835316,1675.895752,178.266274,109.308382,4.657794,-102.243927,41.983025,1769.257324,88.253481,126.464838,23.613373,-60.331585,-399.849213,1856.245239,32.677248,167.077917,175.216905,-182.392761,-389.635742,1884.348389,25.023496,161.708247,113.085622,-282.564453,-154.623352,1968.796387,30.081889,186.138753,68.711283,-201.543961,53.304405,1944.795288,135.524506,204.285497,149.499266,-276.745209,96.166862,1896.590576,137.271648,152.302453,100.059551,-292.441864,184.649200,1943.765259,137.271648,152.302453,100.059551,-240.868484,155.334427,1865.595215,48.852073,216.062757,135.079995,60.223179,-29.712074,2149.024414,231.618896,234.089858,46.349667,215.099670,132.638489,1839.177124,245.771870,152.516465,90.766844,210.758804,456.954681,2007.902100,259.797653,154.922738,88.614684,239.962448,613.719360,1926.538452,112.189743,116.836955,243.971135,-100.693382,-53.920151,2180.291992,38.479420,140.221781,323.438427,-336.589233,121.026230,1935.788696,49.554697,202.002369,266.884899,-317.974731,463.064667,2074.202393,60.034557,194.603970,272.733680,-390.224609,583.802551,1988.581665,333.547773,236.577307,160.427239,-37.872059,-450.073822,1753.089111,234.737390,111.840429,122.078006,-20.313759,-327.555664,1662.206787,234.737390,111.840429,122.078006,6.344267,-371.926514,1648.738770,103.028152,162.316302,264.780228,50.232361,-467.525665,1708.822510,125.262610,248.159571,302.077991,-42.790436,-366.438751,1641.537720,103.028152,162.316302,264.780228,-105.757446,-467.416046,1680.453369,234.737390,111.840429,122.078006
2020-04-16_23-36-12,1,1857644,-42.294693,-73.592751,3754.837646,282.663981,149.397960,92.029645,-18.599100,-190.303406,2080.805420,284.902751,137.199621,88.305679,-21.554396,-290.264893,1988.206665,288.098002,126.547949,85.449510,-31.131992,-414.124146,1822.049683,293.261910,117.930316,79.363232,1.840454,-389.030914,1843.889038,207.482865,169.494817,197.628586,129.846924,-348.354553,1818.982788,186.965053,189.508833,261.920602,166.450714,-90.498535,1862.607056,191.708343,178.809309,321.163466,-6.152615,48.459305,1858.001465,210.675711,112.620255,330.108889,-40.876949,58.608532,1773.395142,178.273391,109.326511,4.664041,-74.936310,55.829861,1675.958374,178.273391,109.326511,4.664041,-102.323502,41.954945,1769.379028,88.272290,126.521767,23.609266,-60.337288,-399.839447,1856.242188,32.674342,167.075505,175.217200,-182.396851,-389.626740,1884.350342,25.027519,161.700675,113.084397,-282.558746,-154.623352,1968.831665,30.090095,186.135274,68.713460,-201.545975,53.307995,1944.844238,135.522198,204.265328,149.495245,-276.758301,96.184448,1896.670166,137.288149,152.286456,100.047575,-292.434113,184.656738,1943.869751,137.288149,152.286456,100.047575,-240.741974,155.432938,1865.649780,48.782346,216.074185,134.961170,60.222908,-29.712790,2149.025879,231.618189,234.090510,46.349162,215.097748,132.633148,1839.177246,245.772043,152.517131,90.766854,210.756790,456.949982,2007.897827,259.798371,154.923005,88.614777,239.958298,613.713867,1926.533447,112.188664,116.836440,243.972483,-100.692894,-53.920444,2180.293945,38.477541,140.220852,323.439376,-336.587494,121.018990,1935.787109,49.554820,202.000218,266.885046,-317.973572,463.061218,2074.187012,60.039889,194.599350,272.734887,-390.214874,583.792236,1988.550781,333.551962,236.583843,160.430610,-37.880821,-450.058533,1753.083252,234.735597,111.834654,122.086179,-20.340458,-327.530548,1662.211792,234.735597,111.834654,122.086179,6.321915,-371.896973,1648.738647,103.025043,162.321290,264.787684,50.223297,-467.496277,1708.811523,125.264403,248.165346,302.086195,-42.813522,-366.414124,1641.540039,103.025043,162.321290,264.787684,-105.767113,-467.401672,1680.449097,234.735597,111.834654,122.086179
2020-04-16_23-36-12,1,1924322,-42.364147,-73.912827,3754.720703,282.616147,149.422612,92.041295,-18.613924,-190.556900,2081.234375,284.879632,137.079162,88.280954,-21.607018,-290.338898,1988.410034,288.190715,126.223189,85.155671,-31.740271,-413.227203,1821.523682,293.453740,117.613309,78.974294,1.343993,-388.381653,1843.493164,207.161347,169.471262,197.356133,129.554016,-348.310822,1818.527710,185.657276,189.725737,261.344319,168.730789,-90.958298,1863.144897,191.237661,180.039621,320.757954,-2.950296,49.271240,1863.298218,208.516043,114.791229,332.479463,-41.147842,59.583549,1780.205322,177.766124,111.636929,5.781846,-79.033211,55.747414,1684.209473,177.766124,111.636929,5.781846,-112.444733,39.304497,1792.257568,90.689374,138.397175,21.847632,-60.879063,-399.024658,1855.817627,32.362363,167.060641,174.987432,-182.909729,-388.321411,1883.962280,24.032751,161.763842,113.022525,-282.870728,-153.085266,1968.176025,29.381132,185.446446,68.393238,-200.583115,54.677753,1946.869507,134.280089,206.488865,148.454646,-273.263885,98.056900,1895.342407,134.449963,153.165252,101.062444,-290.643982,186.952530,1941.165894,134.449963,153.165252,101.062444,-221.283096,159.238434,1861.287231,40.174763,222.732192,123.134837,60.206768,-29.929432,2149.458984,231.386055,234.093067,46.098315,215.807175,131.753952,1839.548584,245.629364,152.464112,90.830165,211.109283,455.963593,2008.597412,259.975335,154.930478,88.637324,239.820740,612.797729,1927.128296,111.871932,116.763257,244.352724,-100.764084,-54.092838,2180.624023,38.442534,140.158856,323.611786,-337.010254,120.007858,1935.758667,49.578629,201.990167,267.007191,-319.121368,462.170258,2074.121826,59.955749,194.811081,272.724125,-391.533142,583.217346,1989.024780,333.253518,236.427870,160.192305,-38.660938,-448.745789,1752.344360,236.166278,110.810771,121.256312,-23.744650,-325.111237,1662.465332,236.166278,110.810771,121.256312,3.071581,-369.104828,1648.071045,101.948763,162.835395,265.612873,48.833508,-464.944611,1706.387329,123.833722,249.189229,301.256287,-46.234097,-363.982666,1641.768921,101.948763,162.835395,265.612873,-107.641472,-465.939301,1680.688965,236.166278,110.810771,121.256312
2020-04-16_23-36-12,1,1990955,-40.321239,-70.706757,3763.247559,282.424835,150.010524,92.268646,-16.704332,-191.458542,2083.493408,284.693993,137.278961,88.465225,-19.420679,-292.899933,1989.791626,288.702043,126.055774,84.810492,-30.385666,-416.859344,1820.326782,294.141479,117.479879,78.432281,3.218297,-391.719635,1842.505127,206.904712,170.143406,198.022942,132.920090,-349.519562,1818.806885,186.745282,189.100590,263.039047,164.944885,-87.221054,1861.135010,191.198638,178.400275,324.277055,-17.334938,43.870941,1854.864624,216.488806,115.951399,330.086657,-56.081326,56.279198,1770.956055,188.186210,110.820872,0.777980,-93.272568,55.774166,1673.147705,188.186210,110.820872,0.777980,-127.663063,51.910370,1773.497559,109.636214,131.635198,4.941960,-59.753902,-402.620819,1855.270752,32.546551,164.863547,174.971988,-182.219528,-391.846161,1888.526123,26.171089,163.390736,113.374423,-285.887573,-151.989883,1966.469116,29.665505,188.205111,69.123510,-205.662643,58.357239,1934.007446,118.046400,194.306033,124.374259,-258.107910,137.404846,1901.108276,120.078845,155.373828,103.306238,-279.627655,228.395462,1943.967896,120.078845,155.373828,103.306238,-222.094208,151.162476,1859.221069,52.380801,225.266493,135.742737,62.564983,-27.825457,2151.226807,229.380791,235.109741,44.597905,220.471024,127.879753,1833.222778,245.197922,152.559082,91.750805,210.424545,456.552094,2003.968018,258.730946,153.977167,89.813150,239.339188,617.114502,1924.609131,113.198919,118.103313,243.814024,-100.586731,-52.362904,2182.520508,37.131291,138.661365,325.599962,-340.507324,111.914444,1926.722778,49.737564,202.186906,266.755092,-320.883301,458.047394,2068.111328,60.276493,197.072707,271.202186,-390.395416,586.032471,1986.566284,329.327384,235.781550,155.322883,-37.705490,-452.620850,1750.145020,241.838193,107.349900,118.945743,-34.556622,-323.655121,1663.118042,241.838193,107.349900,118.945743,-6.007594,-366.164795,1645.341431,98.387901,164.757536,269.659608,48.774925,-462.591217,1697.999390,118.161784,252.650100,298.945733,-56.459705,-363.475616,1642.024170,98.387901,164.757536,269.659608,-110.768379,-471.301300,1681.056641,241.838193,107.349900,118.945743
2020-04-16_23-36-12,1,2057655,-40.322945,-70.723396,3763.406250,282.426984,150.011587,92.267501,-16.707626,-191.467606,2083.533691,284.694021,137.290065,88.467044,-19.421202,-292.926483,1989.852417,288.693453,126.076564,84.821810,-30.367252,-416.948395,1820.434082,294.125636,117.499958,78.450705,3.233304,-391.798096,1842.604858,206.926739,170.151013,198.027907,132.933426,-349.586151,1818.925049,186.800975,189.074116,263.065797,164.837830,-87.255386,1861.130737,191.201163,178.334313,324.320248,-17.533377,43.693855,1854.601807,216.457699,115.883249,330.170648,-56.214897,55.997189,1770.648682,188.052886,110.769100,0.958931,-93.315735,55.376194,1672.807617,188.052886,110.769100,0.958931,-127.770050,51.436676,1773.123657,109.476919,131.579555,5.163496,-59.738285,-402.699310,1855.370850,32.566426,164.860108,174.979160,-182.202332,-391.940216,1888.633423,26.181167,163.344542,113.386508,-285.895203,-152.165405,1966.786499,29.711712,188.152291,69.190973,-205.908066,58.302299,1934.532471,117.952982,194.217366,124.357244,-258.347076,137.415039,1901.782471,120.020124,155.261420,103.338270,-279.898041,228.310944,1944.825195,120.020124,155.261420,103.338270,-222.183929,151.291748,1859.895752,52.160983,225.250197,135.547333,62.563427,-27.834557,2151.260498,229.382406,235.112010,44.596831,220.462173,127.857681,1833.250244,245.199367,152.555271,91.749673,210.422714,456.516357,2004.016113,258.729736,153.975005,89.811870,239.343719,617.079529,1924.664551,113.198969,118.105713,243.812180,-100.586075,-52.370983,2182.560059,37.135653,138.668051,325.602635,-340.537140,111.910728,1926.797852,49.731462,202.198276,266.754315,-320.910248,458.012695,2068.254150,60.250600,197.092155,271.197787,-390.464722,586.019897,1986.782593,329.315480,235.750796,155.316229,-37.680401,-452.736115,1750.265747,241.292884,107.608929,119.462754,-34.114716,-323.993927,1662.926392,241.292884,107.608929,119.462754,-5.485230,-366.549835,1645.392944,98.668155,164.613160,269.582473,49.042904,-462.843506,1698.553223,118.707148,252.391071,299.462754,-55.920635,-363.866760,1641.831787,98.668155,164.613160,269.582473,-110.418282,-471.589020,1680.883057,241.292884,107.608929,119.462754
2020-04-16_23-36-12,1,2124300,-36.231266,-54.137184,3814.292480,282.602792,151.095986,91.451336,-16.123947,-186.331635,2089.137451,284.561329,139.441213,88.032113,-19.799932,-293.363464,1997.487793,287.748850,128.032863,84.281867,-32.758617,-425.622681,1829.031738,292.505290,119.385689,78.581762,1.963345,-399.956390,1850.990356,209.196334,172.994739,197.062667,136.016006,-358.811981,1833.759888,186.123249,185.353238,262.995789,169.174210,-88.924255,1859.239746,187.484293,176.824331,326.871791,-22.493034,36.156460,1846.541382,234.886705,128.178059,334.292934,-76.120796,53.108540,1769.773804,210.443562,114.354993,2.534090,-120.116653,51.161404,1672.487549,210.443562,114.354993,2.534090,-139.467270,40.908440,1767.694092,141.514916,131.372455,354.717137,-62.617413,-409.172607,1863.945557,34.297529,165.198913,174.089935,-187.608246,-396.233887,1897.148560,22.839704,165.651865,112.081419,-288.955475,-146.413467,1966.108765,26.334697,184.970309,71.681441,-216.273315,73.118477,1945.997681,99.027553,211.303008,117.302502,-250.805878,148.962402,1886.376221,99.111006,147.851371,107.706024,-277.835022,233.625122,1942.231201,99.111006,147.851371,107.706024,-222.379715,157.207321,1862.695679,45.466871,237.473032,136.784484,67.042015,-19.101494,2154.910889,227.173946,237.307763,41.843279,226.243195,123.457321,1821.937988,245.087372,150.619293,92.638700,211.074448,452.592957,2007.447266,257.876649,152.763283,90.565384,240.568527,618.319458,1930.349121,113.502295,119.529950,243.917501,-99.692665,-41.405128,2187.645264,34.035060,137.303054,329.492922,-349.951996,106.050522,1919.635742,48.542504,203.120316,265.238682,-320.783417,456.245544,2069.671143,57.875638,197.588781,270.159103,-394.229340,587.963623,1990.466797,330.204145,233.487720,155.710223,-40.600891,-464.452179,1758.687866,254.679769,117.582317,101.608649,-27.815300,-353.465820,1645.822021,254.679769,117.582317,101.608649,-3.294524,-402.117004,1636.241943,97.858550,153.476239,264.433511,44.834824,-493.112518,1707.659790,105.320231,242.417683,281.608685,-54.388386,-395.186615,1632.870850,97.858550,153.476239,264.433511,-118.530952,-489.625671,1693.977539,254.679769,117.582317,101.608649
